,0
0,0.9999996881735258
1,0.9999999445907848
2,0.999999913298492
3,0.9999986710154359
4,0.9999999941290255
5,0.9999999706481569
6,0.999999957431652
7,0.9999996794961711
8,0.9997349095385146
9,0.9999613812793787
10,0.9999795025079217
11,0.999993334248943
12,0.9999936591120263
13,0.9999946245399814
14,0.9999999938575491
15,0.9999998924212059
16,0.9999999807613537
17,0.999991555828691
18,0.999844119254941
19,0.9999951554527282
20,0.9999912252528835
21,0.9999999301139819
22,0.999978414959523
23,0.9999698549932309
24,0.9999962327385953
25,0.9999820895182163
26,0.9999880840933283
27,0.9999971935067765
28,0.9999928366992868
29,0.999926784666011
30,0.9999802415235461
