,0
0,0.9999999341424942
1,0.9999999454910168
2,0.9999999694431847
3,0.9999999723646852
4,0.9999999948927888
5,0.9999999838187429
6,0.9999999906395748
7,0.9999997399875408
8,0.9997585034133578
9,0.9999680515235697
10,0.9999825763225835
11,0.9999942744807355
12,0.9999939155816108
13,0.9999952697176967
14,0.9999999936951209
15,0.9999999246744484
16,0.9999999794373983
17,0.9999912445755598
18,0.9998765954810452
19,0.9999955828987362
20,0.9999986060911384
21,0.9999999261536523
22,0.9999814597450821
23,0.999981001599633
24,0.9999965888228257
25,0.9999875289722238
26,0.9999982705244136
27,0.9999978260213641
28,0.9999937178149576
29,0.9999473597233517
30,0.9999833057449852
